,name,percent,category,produce,supply,img_url
0,레인보우 R,17.0%,리큐르,대한주조,레인보우 주식회사,https://cdn.veluga.kr/files/supplier/385/drinks/25452_Main_-_RAINBOW_R.png
1,카페 보르게티,25.0%,리큐르,보르게티,인덜지 (주),https://cdn.veluga.kr/drinks/24085/main/452423aee62d4482997a7b343eee178f_25341_11.png
2,모차르트 초콜릿 다크 프로모션,17.0%,리큐르,MOZART DISTILLLERIE GMBH,롯데칠성음료 스피리츠부문,https://cdn.veluga.kr/drinks/23628/main/c61d2b4e1c214971a266ff0d8e37fa29_%E1%84%86%E1%85%A9%E1%84%8E%E1%85%A1%E1%84%85%E1%85%B3%E1%84%90%E1%85%B3_%E1%84%8E%E1%85%A9%E1%84%8F%E1%85%A9%E1%86%AF%E1%84%85%E1%85%B5%E1%86%BA_%E1%84%83%E1%85%A1%E1%84%8F%E1%85%B3_%E1%84%91%E1%85%B3%E1%84%85%E1%85%A9%E1%84%86%E1%85%A9%E1%84%89%E1%85%A7%E1%86%AB.png
3,모차르트 초콜릿 크림 프로모션,17.0%,리큐르,MOZART DISTILLLERIE GMBH,롯데칠성음료 스피리츠부문,https://cdn.veluga.kr/drinks/23627/main/a664d7768b1e41d8a4a5796c952085e2_%E1%84%86%E1%85%A9%E1%84%8E%E1%85%A1%E1%84%85%E1%85%B3%E1%84%90%E1%85%B3_%E1%84%8E%E1%85%A9%E1%84%8F%E1%85%A9%E1%86%AF%E1%84%85%E1%85%B5%E1%86%BA_%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%B7_%E1%84%91%E1%85%B3%E1%84%85%E1%85%A9%E1%84%86%E1%85%A9%E1%84%89%E1%85%A7%E1%86%AB.png
4,모차르트 초콜릿 다크,17.0%,리큐르,MOZART DISTILLLERIE GMBH,롯데칠성음료 스피리츠부문,https://cdn.veluga.kr/drinks/0/main/b47f7a59bb684a0089a262650bb9d5b0_chocodark.png
5,모차르트 초콜릿 크림,17.0%,리큐르,MOZART DISTILLLERIE GMBH,롯데칠성음료 스피리츠부문,https://cdn.veluga.kr/drinks/23432/main/7a75482662dc47c08a63e9c1b1c9743b_MozartChocolateCream500ml.png
6,올레 스모키 피치 위스키,30.0%,리큐르,올레 스모키 디스틸러리,(주) 디엠인터내셔널,https://cdn.veluga.kr/files/supplier/17/drinks/24874_OSW_peach_600x600.png
7,올레 스모키 솔티 카라멜 위스키,30.0%,리큐르,올레 스모키 디스틸러리,(주) 디엠인터내셔널,https://cdn.veluga.kr/files/supplier/17/drinks/24872_OSW_salty_caramel_600x600.png
8,올레 스모키 피넛 버터 위스키,30.0%,리큐르,올레 스모키 디스틸러리,(주) 디엠인터내셔널,https://cdn.veluga.kr/files/supplier/17/drinks/24873_OSW_peanut_butter_1.png
9,의리남소주,16.5%,리큐르,우포의아침(주),부국상사,https://cdn.veluga.kr/files/supplier/42/drinks/24441_%E1%84%8B%E1%85%B4%E1%84%85%E1%85%B5%E1%84%82%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE.png
10,홀리엠,37.0%,리큐르,두루양조,부국상사,https://cdn.veluga.kr/files/supplier/42/drinks/24105_Main_-_HOLY_M.png
11,강소백 과실주 패키지,15.0%,리큐르,중경쟝지디스틸러리 유한회사,한강글로벌 주식회사,https://cdn.veluga.kr/files/supplier/209/drinks/23852_2892336a-901d-4c3d-a0b3-aa5ac22a570e.png
12,에치고 사무라이,46.0%,리큐르,타마가와 양조장,빅보이리커,https://cdn.veluga.kr/files/supplier/331/drinks/22.%E1%84%87%E1%85%B5%E1%86%A8%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%85%E1%85%B5%E1%84%8F%E1%85%A5_%E1%84%8B%E1%85%A6%E1%84%8E%E1%85%B5%E1%84%80%E1%85%A9_%E1%84%89%E1%85%A1%E1%84%86%E1%85%AE%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5.png
13,드레이크스 오가닉 워터멜론 티니 박스테일,12.0%,리큐르,드레이크스 오가닉,(주) 디엠인터내셔널,https://cdn.veluga.kr/files/supplier/17/drinks/22721_Main_-_Drakes_Organic_Watermelon_Tini_Boxtail.png
14,드레이크스 오가닉 블랙체리 라임에이드 박스테일,12.0%,리큐르,드레이크스 오가닉,(주) 디엠인터내셔널,https://cdn.veluga.kr/files/supplier/17/drinks/22724_Main_-_Drakes_Organic_Blackcherry_Limeade_Boxtail.png
15,드레이크스 오가닉 민티드 모히토 박스테일,12.0%,리큐르,드레이크스 오가닉,(주) 디엠인터내셔널,https://cdn.veluga.kr/files/supplier/17/drinks/22719_Main_-_Drakes_Organic_Minted_Mojito_Boxtail.png
16,드레이크스 오가닉 퍼팩트 마가리타 박스테일,12.0%,리큐르,드레이크스 오가닉,(주) 디엠인터내셔널,https://cdn.veluga.kr/files/supplier/17/drinks/22718_Main_-_Drakes_Organic_Perfect_Margarita_Boxtail.png
