,name,percent,category,produce,supply,img_url,580
0,국향,13.0%,청주,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/44.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%92%E1%85%A3%E1%86%BC.png,
1,설화,14.0%,청주,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/34.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%89%E1%85%A5%E1%86%AF%E1%84%92%E1%85%AA.png,
2,청하,13.0%,청주,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/12.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%92%E1%85%A1.png,
3,청하 드라이,13.5%,청주,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/11.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%92%E1%85%A1_%E1%84%83%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5.png,
4,백화수복,13.0%,청주,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/3.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%87%E1%85%A2%E1%86%A8%E1%84%92%E1%85%AA%E1%84%89%E1%85%AE%E1%84%87%E1%85%A9%E1%86%A8.png,
5,신선주 약주16%,16.0%,청주,농업회사법인 (주)신선,농업회사법인 주식회사 신선,https://cdn.veluga.kr/files/supplier/255/drinks/20297_%E1%84%89%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%AE_%E1%84%83%E1%85%A1%E1%86%AB%E1%84%91%E1%85%AE%E1%86%B7_%E1%84%8A%E1%85%A5%E1%86%B7%E1%84%82%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF.png,
6,주교주,16.0%,청주,배다리도가,배다리도가,https://cdn.veluga.kr/files/supplier/205/drinks/16047_jugyo.png,
7,동학1957,13.0%,청주,고헌정영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%83%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A1%E1%86%A81957_1.png,
8,요리용 청주 가주,14.0%,청주,단양이화식품,주식회사 가주유통,https://assets.business.veluga.kr/media/public/YIHE_Foods_Gaju.png,
9,삼양춘 청주,15.0%,청주,송도향전통주조,부국상사,https://assets.business.veluga.kr/media/public/%EC%82%BC%EC%96%91%EC%B6%98_%EC%B2%AD%EC%A3%BC.png,
